2013-03-01,1.81481,2,
2013-03-02,1.81504,2,
2013-03-03,1.81527,2,
2013-03-04,1.8155,2,
2013-03-05,1.81573,2,
2013-03-06,1.81596,2,
2013-03-07,1.81619,2,
2013-03-08,1.81642,2,
2013-03-09,1.81665,2,
2013-03-10,1.81688,2,
2013-03-11,1.81712,2,
2013-03-12,1.81736,2,
2013-03-13,1.8176,2,
2013-03-14,1.81784,2,
2013-03-15,1.81808,2,
2013-03-16,1.81832,2,
2013-03-17,1.81856,2,
2013-03-18,1.8188,2,
2013-03-19,1.81904,2,
2013-03-20,1.81928,2,
2013-03-21,1.81952,2,
2013-03-22,1.81976,2,
2013-03-23,1.82,2,
2013-03-24,1.82024,2,
2013-03-25,1.82048,2,
2013-03-26,1.82072,2,
2013-03-27,1.82096,2,
2013-03-28,1.8212,2,
2013-03-29,1.82144,2,
2013-03-30,1.82168,2,
2013-03-31,1.82192,2,
2013-03-01,6.96,1,
2013-03-02,6.96,1,
2013-03-03,6.96,1,
2013-03-04,6.96,1,
2013-03-05,6.96,1,
2013-03-06,6.96,1,
2013-03-07,6.96,1,
2013-03-08,6.96,1,
2013-03-09,6.96,1,
2013-03-10,6.96,1,
2013-03-11,6.96,1,
2013-03-12,6.96,1,
2013-03-13,6.96,1,
2013-03-14,6.96,1,
2013-03-15,6.96,1,
2013-03-16,6.96,1,
2013-03-17,6.96,1,
2013-03-18,6.96,1,
2013-03-19,6.96,1,
2013-03-20,6.96,1,
2013-03-21,6.96,1,
2013-03-22,6.96,1,
2013-03-23,6.96,1,
2013-03-24,6.96,1,
2013-03-25,6.96,1,
2013-03-26,6.96,1,
2013-03-27,6.96,1,
2013-03-28,6.96,1,
2013-03-29,6.96,1,
2013-03-30,6.96,1,
2013-03-31,6.96,1,
